86.5	8	1
94	15.1	0
85.4	12.7	1
86.4	14	0
83.7	10.3	1
81.2	14	0
83.3	11.7	1
78.3	10.6	1
85.2	17.3	0
91.8	18.8	0
78	8.4	1
79.5	9.9	1
97.8	13.9	0
108.7	13.5	0
81.1	8.5	1
76.3	15.8	0
98.8	16.2	0
87.7	6.2	1
104.5	15.1	0
75.1	6.8	1
82.8	11	0
99.8	18.8	0
64.7	16.1	1
92.3	9.3	1
97.5	13.9	0
81.1	11.1	1
93.8	18.3	0
94	15.6	0
81.8	7.5	1
103.3	11.9	0
109.4	9.7	0
110.7	21.5	0
83.4	13.4	1
67.8	8.2	1
72.7	12.3	1
68.7	9.5	1
81.5	7.6	1
72.1	12.2	1
88.9	8.8	1
93.6	12.3	0
108	17.9	0
91.7	12.8	0
84.7	17.1	0
75.8	10.1	1
106.9	21.4	0
50.5	11.5	1
70.9	10.7	1
90.7	15.6	0
99.5	19.6	0
88	12.5	0
92.4	14.5	0
97.8	13.5	0
78.6	13.5	1
64.8	9.6	1
111.7	14.8	0
75.3	10	1
84.8	11.9	1
80.8	10.4	1
101.7	18.4	0
76.5	13.2	1
